run,train_accuracy_max,test_accuracy_final,best_val_accuracy,gap,flag_overfit
misty-sweep-2,0.986148,0.972400,0.972500,0.013748,0
eager-sweep-3,0.987704,0.972700,0.963000,0.015004,0
swift-sweep-4,0.952241,0.948700,0.945333,0.003541,0
pretty-sweep-5,0.960278,0.953300,0.953000,0.006978,0
devout-sweep-6,0.794407,0.799000,0.782000,-0.004593,0
playful-sweep-7,0.897037,0.899500,0.890333,-0.002463,0
sunny-sweep-9,0.949519,0.945000,0.942167,0.004519,0
restful-sweep-10,0.922000,0.921200,0.921333,0.000800,0
winter-sweep-11,0.957389,0.946900,0.949667,0.010489,0
dulcet-sweep-12,0.987630,0.972500,0.971667,0.015130,0
super-sweep-14,0.982000,0.974000,0.967500,0.008000,0
magic-sweep-15,0.985019,0.969400,0.966167,0.015619,0
quiet-sweep-16,0.986000,0.971300,0.971667,0.014700,0
fancy-sweep-17,0.995370,0.978200,0.975667,0.017170,0
tough-sweep-18,0.983944,0.973000,0.969500,0.010944,0
atomic-sweep-19,0.120167,0.122200,0.115500,-0.002033,0
cosmic-sweep-21,0.112352,0.113500,0.112500,-0.001148,0
sage-sweep-22,0.252296,0.250800,0.257833,0.001496,0
toasty-sweep-24,0.992111,0.976200,0.974500,0.015911,0
charmed-sweep-25,0.097093,0.097400,0.112500,-0.000307,0
fiery-sweep-26,0.852389,0.857200,0.847667,-0.004811,0
ethereal-sweep-27,0.996704,0.976600,0.973167,0.020104,0
copper-sweep-28,0.996815,0.979200,0.976833,0.017615,0
avid-sweep-29,0.995574,0.978200,0.975500,0.017374,0
rare-sweep-30,0.993815,0.976600,0.975500,0.017215,0
flowing-sweep-31,0.980889,0.969300,0.968500,0.011589,0
balmy-sweep-32,0.951111,0.946100,0.943333,0.005011,0
treasured-sweep-33,0.969296,0.960600,0.965000,0.008696,0
deft-sweep-34,0.934037,0.932900,0.928833,0.001137,0
earnest-sweep-35,0.919500,0.921300,0.913500,-0.001800,0
vague-sweep-38,0.989222,0.969900,0.977000,0.019322,0
fancy-sweep-39,0.934556,0.932800,0.926667,0.001756,0
hardy-sweep-40,0.981037,0.965400,0.964500,0.015637,0
divine-sweep-1,0.834093,0.843500,0.836167,-0.009407,0
dulcet-sweep-2,0.959278,0.950800,0.946000,0.008478,0
skilled-sweep-3,0.984000,0.970600,0.968333,0.013400,0
morning-sweep-4,0.979759,0.967500,0.962333,0.012259,0
celestial-sweep-5,0.436704,0.435200,0.430667,0.001504,0
quiet-sweep-6,0.987611,0.970600,0.971667,0.017011,0
wobbly-sweep-7,0.112352,0.113500,0.112500,-0.001148,0
rose-sweep-8,0.111796,0.113500,0.117500,-0.001704,0
vital-sweep-9,0.994926,0.971400,0.970667,0.023526,0
twilight-sweep-10,0.985370,0.970700,0.970667,0.014670,0
fearless-sweep-11,0.818537,0.826400,0.821833,-0.007863,0
copper-sweep-12,0.900185,0.898800,0.903000,0.001385,0
glowing-sweep-13,0.918333,0.920500,0.917167,-0.002167,0
elated-sweep-14,0.112352,0.113500,0.112500,-0.001148,0
gentle-sweep-15,0.462556,0.461400,0.458167,0.001156,0
balmy-sweep-16,0.997370,0.975900,0.979167,0.021470,0
absurd-sweep-17,0.830148,0.830600,0.823333,-0.000452,0
dark-sweep-18,0.994481,0.973200,0.974667,0.021281,0
dark-sweep-19,0.858648,0.860000,0.858000,-0.001352,0
ethereal-sweep-20,0.919852,0.921900,0.913167,-0.002048,0
hearty-sweep-21,0.996167,0.974600,0.971167,0.021567,0
youthful-sweep-22,0.210130,0.210400,0.205000,-0.000270,0
opt-sgd,0.904889,0.904200,,0.000689,0
opt-momentum,0.904889,0.905200,,-0.000311,0
opt-nesterov,0.968333,0.964300,,0.004033,0
opt-rmsprop,0.995852,0.975800,,0.020052,0
opt-nadam,0.991204,0.975300,,0.015904,0
revived-lake-82,0.996352,0.979200,0.977667,0.017152,0
proud-sweep-3,0.925111,0.926300,0.921500,-0.001189,0
scarlet-sweep-1,0.111796,0.113500,0.117500,-0.001704,0
lilac-sweep-2,0.969278,0.948900,0.945333,0.020378,0
avid-sweep-3,0.195093,0.198000,0.484000,-0.002907,0
upbeat-sweep-4,0.926815,0.926100,0.917500,0.000715,0
wise-sweep-5,0.991944,0.972800,0.974000,0.019144,0
graceful-sweep-6,0.996537,0.976500,0.977667,0.020037,0
warm-sweep-7,0.972648,0.959600,0.956667,0.013048,0
dainty-sweep-8,0.967074,0.956400,0.953500,0.010674,0
unique-sweep-9,0.887296,0.892700,0.880333,-0.005404,0
zesty-sweep-10,0.989167,0.974100,0.974833,0.015067,0
fragrant-sweep-11,0.097852,0.097400,0.115333,0.000452,0
swept-sweep-12,0.872259,0.876800,0.866167,-0.004541,0
peach-sweep-13,0.978352,0.967600,0.968500,0.010752,0
silvery-sweep-14,0.941074,0.931700,0.926500,0.009374,0
playful-sweep-15,0.112981,0.113500,0.106833,-0.000519,0
young-sweep-16,0.990519,0.976600,0.976500,0.013919,0
classic-sweep-17,0.959907,0.953300,0.948833,0.006607,0
clear-sweep-18,0.111796,0.113500,0.117500,-0.001704,0
exalted-sweep-19,0.929741,0.930300,0.928333,-0.000559,0
good-sweep-20,0.967722,0.957700,0.971000,0.010022,0
clean-sweep-21,0.995037,0.977900,0.978333,0.017137,0
smooth-sweep-22,0.877630,0.884400,0.873000,-0.006770,0
